Student ID,Name,Amount Due,Payment Status
STU0000001,Student 1,12000,Paid
STU0000002,Student 2,18000,Pending
STU0000003,Student 3,25000,Paid
STU0000004,Student 4,25000,Paid
STU0000005,Student 5,18000,Pending
STU0000006,Student 6,25000,Paid
STU0000007,Student 7,12000,Pending
STU0000008,Student 8,25000,Pending
STU0000009,Student 9,18000,Paid
STU0000010,Student 10,12000,Paid
STU0000011,Student 11,25000,Pending
STU0000012,Student 12,25000,Paid
STU0000013,Student 13,25000,Paid
STU0000014,Student 14,12000,Paid
STU0000015,Student 15,18000,Paid
STU0000016,Student 16,18000,Pending
STU0000017,Student 17,25000,Pending
STU0000018,Student 18,25000,Pending
STU0000019,Student 19,18000,Pending
STU0000020,Student 20,12000,Pending
STU0000021,Student 21,12000,Paid
STU0000022,Student 22,12000,Pending
STU0000023,Student 23,12000,Pending
STU0000024,Student 24,25000,Pending
STU0000025,Student 25,25000,Pending
STU0000026,Student 26,18000,Pending
STU0000027,Student 27,25000,Pending
STU0000028,Student 28,25000,Pending
STU0000029,Student 29,25000,Paid
STU0000030,Student 30,18000,Paid
STU0000031,Student 31,18000,Paid
STU0000032,Student 32,25000,Pending
STU0000033,Student 33,25000,Paid
STU0000034,Student 34,25000,Paid
STU0000035,Student 35,25000,Pending
STU0000036,Student 36,18000,Paid
STU0000037,Student 37,12000,Pending
STU0000038,Student 38,25000,Pending
STU0000039,Student 39,12000,Pending
STU0000040,Student 40,12000,Pending
STU0000041,Student 41,12000,Paid
STU0000042,Student 42,18000,Pending
STU0000043,Student 43,18000,Paid
STU0000044,Student 44,12000,Paid
STU0000045,Student 45,18000,Pending
STU0000046,Student 46,25000,Pending
STU0000047,Student 47,25000,Paid
STU0000048,Student 48,12000,Pending
STU0000049,Student 49,12000,Paid
STU0000050,Student 50,12000,Paid
STU0000051,Student 51,12000,Pending
STU0000052,Student 52,18000,Pending
STU0000053,Student 53,12000,Paid
STU0000054,Student 54,18000,Pending
STU0000055,Student 55,18000,Paid
STU0000056,Student 56,18000,Pending
STU0000057,Student 57,18000,Pending
STU0000058,Student 58,25000,Paid
STU0000059,Student 59,25000,Pending
STU0000060,Student 60,18000,Paid
STU0000061,Student 61,18000,Pending
STU0000062,Student 62,18000,Pending
STU0000063,Student 63,25000,Pending
STU0000064,Student 64,12000,Pending
STU0000065,Student 65,25000,Pending
STU0000066,Student 66,12000,Pending
STU0000067,Student 67,25000,Paid
STU0000068,Student 68,12000,Pending
STU0000069,Student 69,18000,Pending
STU0000070,Student 70,25000,Pending
STU0000071,Student 71,25000,Pending
STU0000072,Student 72,25000,Pending
STU0000073,Student 73,12000,Paid
STU0000074,Student 74,25000,Paid
STU0000075,Student 75,18000,Pending
STU0000076,Student 76,25000,Pending
STU0000077,Student 77,18000,Pending
STU0000078,Student 78,12000,Pending
STU0000079,Student 79,12000,Pending
STU0000080,Student 80,18000,Pending
STU0000081,Student 81,18000,Pending
STU0000082,Student 82,12000,Paid
STU0000083,Student 83,25000,Paid
STU0000084,Student 84,18000,Paid
STU0000085,Student 85,25000,Pending
STU0000086,Student 86,12000,Pending
STU0000087,Student 87,12000,Pending
STU0000088,Student 88,25000,Paid
STU0000089,Student 89,12000,Pending
STU0000090,Student 90,18000,Paid
STU0000091,Student 91,18000,Paid
STU0000092,Student 92,12000,Pending
STU0000093,Student 93,25000,Paid
STU0000094,Student 94,25000,Pending
STU0000095,Student 95,18000,Paid
STU0000096,Student 96,12000,Paid
STU0000097,Student 97,25000,Paid
STU0000098,Student 98,18000,Paid
STU0000099,Student 99,18000,Pending
STU0000100,Student 100,25000,Paid
STU0000101,Student 101,25000,Pending
STU0000102,Student 102,25000,Paid
STU0000103,Student 103,18000,Pending
STU0000104,Student 104,25000,Pending
STU0000105,Student 105,18000,Pending
STU0000106,Student 106,25000,Pending
STU0000107,Student 107,18000,Pending
STU0000108,Student 108,25000,Pending
STU0000109,Student 109,12000,Pending
STU0000110,Student 110,12000,Paid
STU0000111,Student 111,12000,Pending
STU0000112,Student 112,25000,Pending
STU0000113,Student 113,25000,Paid
STU0000114,Student 114,12000,Pending
