Student ID,Student Name,Department,Fee Category,Amount Due,Amount Paid,Payment Status,Due Date,Remarks
STU000001,Student 1,Commerce,Tuition,18000,0,Overdue,2026-09-15,Term 2 fee record
STU000002,Student 2,Secondary,Tuition,25000,0,Pending,2026-09-15,Term 3 fee record
STU000003,Student 3,Primary,Tuition,18000,0,Pending,2026-08-15,Term 1 fee record
STU000004,Student 4,Primary,Tuition,18000,0,Pending,2026-09-15,Term 2 fee record
STU000005,Student 5,Science,Tuition,25000,25000,Paid,2026-07-15,Term 3 fee record
STU000006,Student 6,Science,Tuition,18000,0,Pending,2026-01-15,Term 1 fee record
STU000007,Student 7,Primary,Tuition,25000,25000,Paid,2026-01-15,Term 2 fee record
STU000008,Student 8,Science,Tuition,12000,0,Pending,2026-01-15,Term 3 fee record
STU000009,Student 9,Commerce,Tuition,18000,9000,Partial,2026-04-15,Term 1 fee record
STU000010,Student 10,Senior,Tuition,25000,0,Pending,2026-08-15,Term 2 fee record
STU000011,Student 11,Commerce,Tuition,12000,12000,Paid,2026-05-15,Term 3 fee record
STU000012,Student 12,Senior,Tuition,18000,18000,Paid,2026-06-15,Term 1 fee record
STU000013,Student 13,Primary,Tuition,12000,6000,Partial,2026-02-15,Term 2 fee record
STU000014,Student 14,Commerce,Tuition,25000,25000,Paid,2026-02-15,Term 3 fee record
STU000015,Student 15,Primary,Tuition,18000,0,Overdue,2026-01-15,Term 1 fee record
STU000016,Student 16,Secondary,Tuition,25000,25000,Paid,2026-04-15,Term 2 fee record
STU000017,Student 17,Commerce,Tuition,12000,0,Overdue,2026-07-15,Term 3 fee record
STU000018,Student 18,Science,Tuition,18000,18000,Paid,2026-04-15,Term 1 fee record
STU000019,Student 19,Senior,Tuition,25000,12500,Partial,2026-02-15,Term 2 fee record
STU000020,Student 20,Primary,Tuition,18000,9000,Partial,2026-07-15,Term 3 fee record
STU000021,Student 21,Secondary,Tuition,12000,0,Pending,2026-02-15,Term 1 fee record
STU000022,Student 22,Commerce,Tuition,12000,12000,Paid,2026-08-15,Term 2 fee record
STU000023,Student 23,Commerce,Tuition,12000,0,Pending,2026-09-15,Term 3 fee record
STU000024,Student 24,Commerce,Tuition,12000,0,Pending,2026-07-15,Term 1 fee record
STU000025,Student 25,Commerce,Tuition,12000,0,Overdue,2026-04-15,Term 2 fee record
STU000026,Student 26,Science,Tuition,12000,6000,Partial,2026-05-15,Term 3 fee record
STU000027,Student 27,Secondary,Tuition,12000,0,Pending,2026-07-15,Term 1 fee record
STU000028,Student 28,Primary,Tuition,25000,25000,Paid,2026-03-15,Term 2 fee record
STU000029,Student 29,Senior,Tuition,12000,0,Overdue,2026-01-15,Term 3 fee record
STU000030,Student 30,Senior,Tuition,25000,12500,Partial,2026-07-15,Term 1 fee record
STU000031,Student 31,Primary,Tuition,12000,12000,Paid,2026-04-15,Term 2 fee record
STU000032,Student 32,Primary,Tuition,25000,0,Pending,2026-06-15,Term 3 fee record
STU000033,Student 33,Secondary,Tuition,18000,0,Overdue,2026-08-15,Term 1 fee record
STU000034,Student 34,Commerce,Tuition,25000,0,Pending,2026-03-15,Term 2 fee record
STU000035,Student 35,Senior,Tuition,25000,0,Pending,2026-04-15,Term 3 fee record
STU000036,Student 36,Secondary,Tuition,25000,0,Pending,2026-03-15,Term 1 fee record
STU000037,Student 37,Commerce,Tuition,25000,0,Pending,2026-08-15,Term 2 fee record
STU000038,Student 38,Commerce,Tuition,25000,25000,Paid,2026-01-15,Term 3 fee record
STU000039,Student 39,Primary,Tuition,12000,12000,Paid,2026-09-15,Term 1 fee record
STU000040,Student 40,Commerce,Tuition,18000,0,Pending,2026-05-15,Term 2 fee record
STU000041,Student 41,Senior,Tuition,18000,0,Overdue,2026-09-15,Term 3 fee record
STU000042,Student 42,Secondary,Tuition,12000,12000,Paid,2026-04-15,Term 1 fee record
STU000043,Student 43,Senior,Tuition,18000,18000,Paid,2026-04-15,Term 2 fee record
STU000044,Student 44,Primary,Tuition,12000,12000,Paid,2026-05-15,Term 3 fee record
STU000045,Student 45,Secondary,Tuition,18000,0,Overdue,2026-01-15,Term 1 fee record
STU000046,Student 46,Senior,Tuition,12000,0,Pending,2026-06-15,Term 2 fee record
STU000047,Student 47,Primary,Tuition,25000,0,Pending,2026-06-15,Term 3 fee record
STU000048,Student 48,Senior,Tuition,12000,0,Overdue,2026-09-15,Term 1 fee record
STU000049,Student 49,Science,Tuition,25000,0,Pending,2026-01-15,Term 2 fee record
STU000050,Student 50,Senior,Tuition,12000,0,Overdue,2026-05-15,Term 3 fee record
STU000051,Student 51,Science,Tuition,12000,12000,Paid,2026-02-15,Term 1 fee record
STU000052,Student 52,Senior,Tuition,18000,18000,Paid,2026-06-15,Term 2 fee record
STU000053,Student 53,Primary,Tuition,12000,12000,Paid,2026-08-15,Term 3 fee record
STU000054,Student 54,Primary,Tuition,25000,12500,Partial,2026-03-15,Term 1 fee record
STU000055,Student 55,Primary,Tuition,18000,9000,Partial,2026-08-15,Term 2 fee record
STU000056,Student 56,Primary,Tuition,12000,0,Overdue,2026-08-15,Term 3 fee record
STU000057,Student 57,Science,Tuition,25000,25000,Paid,2026-07-15,Term 1 fee record
STU000058,Student 58,Science,Tuition,18000,18000,Paid,2026-02-15,Term 2 fee record
STU000059,Student 59,Primary,Tuition,12000,12000,Paid,2026-05-15,Term 3 fee record
STU000060,Student 60,Commerce,Tuition,18000,9000,Partial,2026-08-15,Term 1 fee record
STU000061,Student 61,Science,Tuition,18000,0,Overdue,2026-02-15,Term 2 fee record
STU000062,Student 62,Senior,Tuition,25000,25000,Paid,2026-02-15,Term 3 fee record
STU000063,Student 63,Secondary,Tuition,18000,18000,Paid,2026-02-15,Term 1 fee record
STU000064,Student 64,Senior,Tuition,18000,0,Overdue,2026-01-15,Term 2 fee record
STU000065,Student 65,Secondary,Tuition,18000,9000,Partial,2026-04-15,Term 3 fee record
STU000066,Student 66,Senior,Tuition,25000,0,Pending,2026-08-15,Term 1 fee record
STU000067,Student 67,Senior,Tuition,18000,0,Pending,2026-07-15,Term 2 fee record
STU000068,Student 68,Secondary,Tuition,25000,12500,Partial,2026-07-15,Term 3 fee record
STU000069,Student 69,Commerce,Tuition,12000,0,Pending,2026-04-15,Term 1 fee record
STU000070,Student 70,Secondary,Tuition,25000,12500,Partial,2026-03-15,Term 2 fee record
STU000071,Student 71,Senior,Tuition,12000,0,Overdue,2026-01-15,Term 3 fee record
STU000072,Student 72,Senior,Tuition,25000,25000,Paid,2026-03-15,Term 1 fee record
STU000073,Student 73,Commerce,Tuition,12000,0,Overdue,2026-05-15,Term 2 fee record
STU000074,Student 74,Commerce,Tuition,12000,0,Overdue,2026-09-15,Term 3 fee record
