Student ID,Student Name,Class,Section,Department,Fee Category,Amount Due,Amount Paid,Balance,Payment Status,Payment Mode,Due Date,Payment Date,Academic Year,Guardian Email,Remarks
STU0000001,Student 1,7,A,Primary,Activity,18000,0,18000,Pending,Card,2026-02-21,2026-01-26,2025-2026,guardian1@example.com,"Fee record for term 1"
STU0000002,Student 2,7,D,Primary,Transport,12000,12000,0,Paid,Cash,2026-09-23,2026-01-28,2025-2026,guardian2@example.com,"Fee record for term 1"
STU0000003,Student 3,1,D,Primary,Transport,15000,0,15000,Waived,Cash,2026-09-14,2026-05-23,2025-2026,guardian3@example.com,"Fee record for term 1"
STU0000004,Student 4,10,C,Commerce,Activity,25000,25000,0,Paid,Cheque,2026-02-28,2026-04-21,2025-2026,guardian4@example.com,"Fee record for term 1"
STU0000005,Student 5,10,A,Commerce,Transport,25000,25000,0,Paid,NEFT,2026-09-23,2026-06-24,2025-2026,guardian5@example.com,"Fee record for term 3"
STU0000006,Student 6,4,B,Science,Activity,22000,11000,11000,Partial,Cheque,2026-02-28,2026-05-26,2025-2026,guardian6@example.com,"Fee record for term 2"
STU0000007,Student 7,5,A,Primary,Library,18000,0,18000,Overdue,NEFT,2026-03-20,2026-03-25,2025-2026,guardian7@example.com,"Fee record for term 2"
STU0000008,Student 8,9,C,Senior,Lab,12000,12000,0,Paid,UPI,2026-08-28,2026-08-12,2025-2026,guardian8@example.com,"Fee record for term 1"
STU0000009,Student 9,12,A,Primary,Lab,18000,0,18000,Overdue,UPI,2026-08-19,2026-07-21,2025-2026,guardian9@example.com,"Fee record for term 1"
STU0000010,Student 10,10,A,Pre-Primary,Tuition,22000,5500,16500,Partial,Cheque,2026-05-14,2026-04-22,2025-2026,guardian10@example.com,"Fee record for term 2"
STU0000011,Student 11,3,D,Pre-Primary,Library,22000,22000,0,Paid,UPI,2026-03-23,2026-09-18,2025-2026,guardian11@example.com,"Fee record for term 3"
STU0000012,Student 12,7,B,Secondary,Tuition,22000,16500,5500,Partial,Cheque,2026-03-17,2026-04-10,2025-2026,guardian12@example.com,"Fee record for term 2"
STU0000013,Student 13,5,C,Primary,Transport,25000,0,25000,Pending,NEFT,2026-09-21,2026-06-14,2025-2026,guardian13@example.com,"Fee record for term 3"
STU0000014,Student 14,11,A,Pre-Primary,Activity,25000,0,25000,Waived,Card,2026-07-22,2026-07-22,2025-2026,guardian14@example.com,"Fee record for term 1"
STU0000015,Student 15,1,B,Primary,Transport,22000,0,22000,Overdue,NEFT,2026-03-13,2026-06-11,2025-2026,guardian15@example.com,"Fee record for term 1"
STU0000016,Student 16,3,A,Senior,Library,12000,0,12000,Waived,Cash,2026-02-16,2026-07-14,2025-2026,guardian16@example.com,"Fee record for term 3"
STU0000017,Student 17,6,D,Primary,Tuition,18000,13500,4500,Partial,NEFT,2026-08-25,2026-08-19,2025-2026,guardian17@example.com,"Fee record for term 1"
STU0000018,Student 18,12,C,Science,Hostel,15000,15000,0,Paid,NEFT,2026-03-26,2026-01-16,2025-2026,guardian18@example.com,"Fee record for term 3"
STU0000019,Student 19,12,A,Arts,Library,18000,0,18000,Pending,UPI,2026-02-18,2026-09-21,2025-2026,guardian19@example.com,"Fee record for term 1"
STU0000020,Student 20,9,C,Science,Transport,18000,0,18000,Pending,Card,2026-04-17,2026-07-17,2025-2026,guardian20@example.com,"Fee record for term 1"
STU0000021,Student 21,6,A,Primary,Activity,25000,0,25000,Overdue,UPI,2026-08-18,2026-04-21,2025-2026,guardian21@example.com,"Fee record for term 2"
STU0000022,Student 22,2,B,Primary,Transport,30000,15000,15000,Partial,NEFT,2026-04-20,2026-04-25,2025-2026,guardian22@example.com,"Fee record for term 3"
STU0000023,Student 23,8,C,Arts,Lab,25000,25000,0,Paid,Cash,2026-02-22,2026-04-25,2025-2026,guardian23@example.com,"Fee record for term 1"
STU0000024,Student 24,12,D,Pre-Primary,Exam,22000,5500,16500,Partial,Cash,2026-03-15,2026-03-10,2025-2026,guardian24@example.com,"Fee record for term 1"
STU0000025,Student 25,11,B,Commerce,Activity,25000,0,25000,Overdue,Card,2026-08-21,2026-03-27,2025-2026,guardian25@example.com,"Fee record for term 3"
STU0000026,Student 26,1,A,Commerce,Lab,15000,15000,0,Paid,Cheque,2026-07-16,2026-04-10,2025-2026,guardian26@example.com,"Fee record for term 2"
STU0000027,Student 27,4,C,Senior,Library,15000,11250,3750,Partial,NEFT,2026-03-11,2026-06-24,2025-2026,guardian27@example.com,"Fee record for term 3"
STU0000028,Student 28,7,B,Commerce,Transport,25000,0,25000,Waived,Card,2026-09-10,2026-08-15,2025-2026,guardian28@example.com,"Fee record for term 3"
STU0000029,Student 29,3,B,Pre-Primary,Library,12000,0,12000,Pending,Cash,2026-09-11,2026-06-26,2025-2026,guardian29@example.com,"Fee record for term 3"
STU0000030,Student 30,2,A,Secondary,Transport,25000,0,25000,Overdue,UPI,2026-01-13,2026-09-24,2025-2026,guardian30@example.com,"Fee record for term 3"
STU0000031,Student 31,8,C,Commerce,Library,12000,12000,0,Paid,Card,2026-09-16,2026-05-24,2025-2026,guardian31@example.com,"Fee record for term 3"
STU0000032,Student 32,9,B,Science,Library,25000,0,25000,Overdue,UPI,2026-09-16,2026-08-14,2025-2026,guardian32@example.com,"Fee record for term 2"
STU0000033,Student 33,8,C,Primary,Lab,12000,0,12000,Overdue,Cheque,2026-07-12,2026-04-19,2025-2026,guardian33@example.com,"Fee record for term 1"
STU0000034,Student 34,5,B,Pre-Primary,Transport,15000,3750,11250,Partial,Cash,2026-07-25,2026-03-17,2025-2026,guardian34@example.com,"Fee record for term 1"
STU0000035,Student 35,9,D,Senior,Exam,30000,0,30000,Overdue,Cheque,2026-06-20,2026-02-21,2025-2026,guardian35@example.com,"Fee record for term 1"
STU0000036,Student 36,8,D,Science,Tuition,18000,0,18000,Waived,NEFT,2026-06-26,2026-05-26,2025-2026,guardian36@example.com,"Fee record for term 1"
STU0000037,Student 37,2,A,Senior,Hostel,12000,0,12000,Pending,Cash,2026-03-18,2026-03-23,2025-2026,guardian37@example.com,"Fee record for term 3"
STU0000038,Student 38,3,D,Science,Hostel,18000,0,18000,Overdue,Cash,2026-05-11,2026-03-23,2025-2026,guardian38@example.com,"Fee record for term 1"
STU0000039,Student 39,11,A,Arts,Hostel,18000,18000,0,Paid,Cash,2026-04-12,2026-05-13,2025-2026,guardian39@example.com,"Fee record for term 2"
STU0000040,Student 40,7,C,Commerce,Transport,12000,9000,3000,Partial,Cash,2026-09-17,2026-02-15,2025-2026,guardian40@example.com,"Fee record for term 2"
STU0000041,Student 41,4,C,Science,Hostel,12000,0,12000,Pending,Card,2026-04-19,2026-08-26,2025-2026,guardian41@example.com,"Fee record for term 3"
STU0000042,Student 42,1,C,Primary,Tuition,15000,7500,7500,Partial,Cash,2026-09-27,2026-04-26,2025-2026,guardian42@example.com,"Fee record for term 2"
STU0000043,Student 43,2,D,Science,Exam,15000,0,15000,Overdue,Card,2026-07-26,2026-05-16,2025-2026,guardian43@example.com,"Fee record for term 1"
STU0000044,Student 44,12,B,Pre-Primary,Hostel,18000,0,18000,Pending,Cash,2026-03-10,2026-02-18,2025-2026,guardian44@example.com,"Fee record for term 2"
STU0000045,Student 45,2,D,Arts,Library,15000,15000,0,Paid,UPI,2026-04-19,2026-01-24,2025-2026,guardian45@example.com,"Fee record for term 1"
STU0000046,Student 46,1,C,Senior,Hostel,15000,7500,7500,Partial,Card,2026-06-17,2026-01-19,2025-2026,guardian46@example.com,"Fee record for term 1"
STU0000047,Student 47,1,C,Pre-Primary,Tuition,18000,0,18000,Pending,NEFT,2026-05-26,2026-04-17,2025-2026,guardian47@example.com,"Fee record for term 3"
STU0000048,Student 48,5,A,Secondary,Exam,12000,12000,0,Paid,Card,2026-01-22,2026-01-19,2025-2026,guardian48@example.com,"Fee record for term 2"
STU0000049,Student 49,2,B,Science,Lab,30000,0,30000,Pending,Card,2026-07-20,2026-08-14,2025-2026,guardian49@example.com,"Fee record for term 2"
STU0000050,Student 50,11,B,Primary,Activity,30000,0,30000,Waived,Card,2026-07-26,2026-03-26,2025-2026,guardian50@example.com,"Fee record for term 3"
STU0000051,Student 51,11,B,Primary,Tuition,25000,25000,0,Paid,Cash,2026-03-21,2026-02-22,2025-2026,guardian51@example.com,"Fee record for term 2"
STU0000052,Student 52,11,A,Science,Library,25000,25000,0,Paid,Cheque,2026-08-18,2026-01-24,2025-2026,guardian52@example.com,"Fee record for term 1"
STU0000053,Student 53,9,A,Science,Library,30000,0,30000,Waived,Cash,2026-08-18,2026-02-18,2025-2026,guardian53@example.com,"Fee record for term 1"
STU0000054,Student 54,4,D,Pre-Primary,Activity,30000,0,30000,Pending,NEFT,2026-02-25,2026-05-11,2025-2026,guardian54@example.com,"Fee record for term 3"
STU0000055,Student 55,2,B,Senior,Hostel,30000,0,30000,Pending,UPI,2026-03-10,2026-08-11,2025-2026,guardian55@example.com,"Fee record for term 2"
STU0000056,Student 56,12,B,Science,Exam,18000,18000,0,Paid,UPI,2026-09-19,2026-08-24,2025-2026,guardian56@example.com,"Fee record for term 2"
STU0000057,Student 57,4,C,Primary,Exam,12000,0,12000,Waived,Cash,2026-05-24,2026-02-26,2025-2026,guardian57@example.com,"Fee record for term 2"
STU0000058,Student 58,4,B,Primary,Library,18000,0,18000,Overdue,Cash,2026-03-26,2026-05-21,2025-2026,guardian58@example.com,"Fee record for term 1"
STU0000059,Student 59,5,A,Science,Hostel,25000,0,25000,Waived,Cheque,2026-08-25,2026-07-10,2025-2026,guardian59@example.com,"Fee record for term 1"
STU0000060,Student 60,11,D,Pre-Primary,Hostel,12000,0,12000,Overdue,Cheque,2026-07-21,2026-07-20,2025-2026,guardian60@example.com,"Fee record for term 1"
STU0000061,Student 61,6,C,Arts,Exam,18000,18000,0,Paid,Cash,2026-04-10,2026-05-18,2025-2026,guardian61@example.com,"Fee record for term 2"
STU0000062,Student 62,7,A,Senior,Exam,12000,0,12000,Overdue,UPI,2026-01-18,2026-02-11,2025-2026,guardian62@example.com,"Fee record for term 3"
STU0000063,Student 63,4,C,Pre-Primary,Library,18000,0,18000,Pending,UPI,2026-04-21,2026-07-10,2025-2026,guardian63@example.com,"Fee record for term 3"
STU0000064,Student 64,9,B,Science,Tuition,22000,0,22000,Waived,Cash,2026-07-24,2026-03-19,2025-2026,guardian64@example.com,"Fee record for term 2"
STU0000065,Student 65,3,B,Pre-Primary,Exam,12000,0,12000,Waived,UPI,2026-05-19,2026-05-18,2025-2026,guardian65@example.com,"Fee record for term 2"
STU0000066,Student 66,5,D,Commerce,Lab,30000,0,30000,Pending,NEFT,2026-02-15,2026-03-12,2025-2026,guardian66@example.com,"Fee record for term 1"
STU0000067,Student 67,9,B,Pre-Primary,Hostel,25000,0,25000,Overdue,NEFT,2026-07-14,2026-09-16,2025-2026,guardian67@example.com,"Fee record for term 1"
STU0000068,Student 68,6,A,Senior,Transport,12000,0,12000,Pending,UPI,2026-05-28,2026-04-10,2025-2026,guardian68@example.com,"Fee record for term 3"
STU0000069,Student 69,7,B,Pre-Primary,Hostel,22000,0,22000,Overdue,UPI,2026-01-25,2026-05-28,2025-2026,guardian69@example.com,"Fee record for term 2"
STU0000070,Student 70,9,B,Primary,Hostel,15000,0,15000,Waived,Cheque,2026-07-22,2026-08-23,2025-2026,guardian70@example.com,"Fee record for term 2"
STU0000071,Student 71,1,D,Science,Activity,12000,0,12000,Pending,NEFT,2026-08-10,2026-02-22,2025-2026,guardian71@example.com,"Fee record for term 3"
STU0000072,Student 72,4,A,Secondary,Transport,22000,0,22000,Overdue,Cheque,2026-09-13,2026-08-12,2025-2026,guardian72@example.com,"Fee record for term 3"
STU0000073,Student 73,3,B,Commerce,Tuition,12000,12000,0,Paid,UPI,2026-03-18,2026-09-23,2025-2026,guardian73@example.com,"Fee record for term 3"
STU0000074,Student 74,2,C,Commerce,Library,12000,12000,0,Paid,Cheque,2026-07-18,2026-04-10,2025-2026,guardian74@example.com,"Fee record for term 1"
STU0000075,Student 75,5,C,Science,Activity,25000,12500,12500,Partial,Cheque,2026-08-26,2026-04-27,2025-2026,guardian75@example.com,"Fee record for term 1"
STU0000076,Student 76,12,C,Primary,Tuition,12000,0,12000,Overdue,Cheque,2026-08-23,2026-02-18,2025-2026,guardian76@example.com,"Fee record for term 1"
STU0000077,Student 77,6,B,Pre-Primary,Tuition,30000,0,30000,Overdue,UPI,2026-07-21,2026-07-16,2025-2026,guardian77@example.com,"Fee record for term 1"
STU0000078,Student 78,2,B,Pre-Primary,Transport,18000,0,18000,Waived,UPI,2026-04-17,2026-08-17,2025-2026,guardian78@example.com,"Fee record for term 2"
STU0000079,Student 79,10,D,Commerce,Transport,18000,18000,0,Paid,Cheque,2026-08-23,2026-01-14,2025-2026,guardian79@example.com,"Fee record for term 2"
